127.0.0.1 - - [11/Jul/2020:13:05:10 +0900] "GET / HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:37 +0900] "GET / HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /main HTTP/1.1" 200 39996
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/css/commons/clock.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/css/slider/sliderDisplay.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/css/message/messenger_bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/css/slider/sliderOption.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/css/commons/card.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/css/commons/cheer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/js/message/message.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/js/cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/js/slider/jquery.slides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/js/commons/slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/css/layout/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/js/commons/clock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/js/commons/cheer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/images/successSeminarbanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/images/letter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/images/corona19banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/images/corona19banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:38 +0900] "GET /resources/scripts/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:39 +0900] "GET /news HTTP/1.1" 200 6123
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:39 +0900] "GET /cheerList HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:39 +0900] "GET /manager/popup/1 HTTP/1.1" 200 218736
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:39 +0900] "GET /lectureThisMonth HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:39 +0900] "GET /resources/images/btns-next-prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:39 +0900] "GET /resources/images/pagination.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:39 +0900] "GET /manager/popup/3 HTTP/1.1" 200 1161546
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:39 +0900] "GET /lecture/review/quickList HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:39 +0900] "GET /foundedReviewList HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [11/Jul/2020:13:47:39 +0900] "POST /noticePointList HTTP/1.1" 200 45529
